SID,parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
1044,regression_noise,0.1889,0.0031,0,4341.8916,4199.358,1.0005,0.0291
1044,regression_beta_expected_uncertainty,0.0709,0.6773,0.0197,1221.1834,3284.8455,1.0033,0.0082
1044,regression_beta_post_error,0.1485,0.0297,0.0004,4544.5031,4506.0364,1.0011,0.0304
1044,xprob_volatility,-5.0543,1.2639,0.0403,1129.0958,2318.2563,1.0021,0.0076
1044,regression_intercept,6.0841,0.2734,0.0082,1170.3705,2438.9948,1.0008,0.0078
1044,regression_beta_surprise,0.1156,0.1299,0.0042,1006.3595,2889.6039,1.0013,0.0067
1044,regression_beta_post_reversal,-0.0556,0.0104,0.0002,2189.6766,3574.7772,0.9999,0.0147
1045,regression_beta_unexpected_uncertainty,-0.5289,0.6454,0.0155,1935.3707,1637.2869,1.002,0.0179
1045,regression_noise,0.2654,0.0044,0.0001,6900.4165,5429.6743,1.0003,0.0639
1045,regression_beta_expected_uncertainty,1.0751,0.8409,0.023,1527.2186,1859.1614,1.0036,0.0141
1045,regression_beta_post_error,0.1507,0.068,0.0008,6588.8233,5403.2953,0.9998,0.061
1045,xprob_volatility,-3.9756,0.8738,0.0267,1416.9135,1991.4893,1.0037,0.0131
1045,regression_intercept,6.1176,0.2057,0.0047,2179.7716,1717.7587,1.0035,0.0202
1045,regression_beta_surprise,0.055,0.0966,0.0028,1570.2567,1275.0457,1.0035,0.0145
1045,regression_beta_post_reversal,-0.0782,0.0127,0.0002,4137.6132,3846.9669,1.0014,0.0383
1004,regression_beta_unexpected_uncertainty,2.2541,0.5953,0.0109,2987.4025,3924.4462,1.001,0.0223
1004,regression_noise,0.1667,0.0027,0,6321.8035,4828.5083,1.0011,0.0473
1004,regression_beta_expected_uncertainty,-0.4705,0.4024,0.0061,4396.0295,4924.3985,1.0005,0.0329
1004,regression_beta_post_error,0.1213,0.0188,0.0002,7144.1761,5303.0135,1.001,0.0534
