"","SID","Session","Block","Trial","Sequence","Stimt-2","Stimt-1","Stimt","RT","Response","Delay","post_reversal","Result","Trial_Number","Correct","log_RT","inverse_RT","post_error"
"143",1033,1,2,23,"High Prob","1","2","1",0.4315026,1,0.35,"0","Correct",143,1,-0.840481742984339,2.31748313915142,"0"
"144",1033,1,2,24,"High Prob","2","1","4",0.4568838,4,0.5,"0","Correct",144,1,-0.783326187377681,2.18874033178677,"0"
"145",1033,1,2,25,"High Prob","1","4","3",0.3256168,3,0.4,"0","Correct",145,1,-1.12203404913324,3.07109461182593,"0"
"146",1033,1,2,26,"High Prob","4","3","2",0.3836626,2,0.6,"0","Correct",146,1,-0.957991758463253,2.60645681909052,"0"
"147",1033,1,2,27,"Low Prob","3","2","3",0.4290466,3,0.45,"0","Correct",147,1,-0.846189741244732,2.33074915405459,"0"
"148",1033,1,2,28,"High Prob","2","3","1",0.3271074,1,0.5,"0","Correct",148,1,-1.11746672164264,3.05709990052197,"0"
"149",1033,1,2,29,"High Prob","3","1","2",0.4611531,2,0.3,"0","Correct",149,1,-0.774025186998381,2.16847723673548,"0"
"150",1033,1,2,30,"High Prob","1","2","1",0.4638149,1,0.25,"0","Correct",150,1,-0.768269728760389,2.15603250348361,"0"
"151",1033,1,2,31,"High Prob","2","1","4",0.498534,4,0.25,"0","Correct",151,1,-0.696083487292231,2.00588124380684,"0"
"152",1033,1,2,32,"Low Prob","1","4","2",0.3532948,2,0.3,"0","Correct",152,1,-1.04045244309501,2.83049736367476,"0"
"153",1033,1,2,33,"High Prob","4","2","3",0.3200102,3,0.45,"0","Correct",153,1,-1.13940240869636,3.12490039379995,"0"
"154",1033,1,2,34,"High Prob","2","3","1",0.3680633,1,0.45,"0","Correct",154,1,-0.999500344735814,2.71692396389425,"0"
"155",1033,1,2,35,"High Prob","3","1","2",0.3441285,2,0.6,"0","Correct",155,1,-1.06674014484824,2.90589125864321,"0"
"156",1033,1,2,36,"High Prob","1","2","1",0.4014979,1,0.2,"0","Correct",156,1,-0.912552975995051,2.49067305208819,"0"
"157",1033,1,2,37,"High Prob","2","1","4",0.4322133,4,0.4,"0","Correct",157,1,-0.838836062592449,2.31367243904803,"0"
"158",1033,1,2,38,"High Prob","1","4","3",0.4296054,3,0.4,"0","Correct",158,1,-0.844888166034079,2.32771748213593,"0"
"159",1033,1,2,39,"Low Prob","4","3","1",0.4196329,1,0.2,"0","Correct",159,1,-0.868374997526116,2.38303526725383,"0"
"160",1033,1,2,40,"High Prob","3","1","2",0.281706,2,0.6,"0","Correct",160,1,-1.26689130507211,3.54980014625177,"0"
"161",1033,1,2,41,"High Prob","1","2","1",0.3890716,1,0.2,"0","Correct",161,1,-0.943991890604308,2.57022100816405,"0"
"162",1033,1,2,42,"Low Prob","2","1","3",0.5404455,3,0.2,"0","Correct",162,1,-0.615361479549261,1.85032533345175,"0"
"163",1033,1,2,43,"High Prob","1","3","4",0.3078438,4,0.45,"0","Correct",163,1,-1.17816276750614,3.24840064994,"0"
"164",1033,1,2,44,"High Prob","3","4","2",0.3905503,2,0.4,"0","Correct",164,1,-0.940198508778641,2.56048964755628,"0"
"165",1033,1,2,45,"Low Prob","4","2","1",0.2559661,1,0.55,"0","Correct",165,1,-1.36271026514613,3.90676734145654,"0"
"166",1033,1,2,46,"High Prob","2","1","4",0.4446446,4,0.2,"0","Correct",166,1,-0.810479967593454,2.24898716862861,"0"
"167",1033,1,2,47,"Low Prob","1","4","2",0.2780358,2,0.5,"0","Correct",167,1,-1.28000539660413,3.59665913526244,"0"
"168",1033,1,2,48,"Low Prob","4","2","1",0.4340552,1,0.2,"0","Correct",168,1,-0.834583564029468,2.30385444063336,"0"
"169",1033,1,2,49,"High Prob","2","1","4",0.5014187,4,0.25,"0","Correct",169,1,-0.690313798381009,1.99434125611989,"0"
"170",1033,1,2,50,"High Prob","1","4","3",0.3641731,3,0.5,"0","Correct",170,1,-1.01012597493265,2.7459469137067,"0"
