Block	Trial	Sequence	NumA	NumB	NumC	RT	Response	Delay
3	75	A	3	1	2	3.26E-01	2	4.00E-01
3	76	A	1	2	1	3.36E-01	1	2.00E-01
3	77	A	2	1	4	3.75E-01	4	2.50E-01
3	78	A	1	4	3	3.06E-01	3	3.50E-01
3	79	A	4	3	2	2.48E-01	2	3.50E-01
3	80	A	3	2	4	3.22E-01	4	6.00E-01
3	81	B	2	4	3	3.25E-01	3	2.50E-01
3	82	B	4	3	1	3.09E-01	1	3.00E-01
3	83	A	3	1	2	3.19E-01	2	2.00E-01
3	84	A	1	2	1	3.22E-01	1	6.00E-01
3	85	A	2	1	4	2.51E-01	4	4.00E-01
3	86	B	1	4	2	2.71E-01	2	2.00E-01
3	87	A	4	2	3	3.03E-01	3	5.50E-01
3	88	A	2	3	1	2.49E-01	1	5.50E-01
3	89	A	3	1	2	3.14E-01	2	6.00E-01
3	90	A	1	2	1	3.01E-01	1	5.50E-01
3	91	A	2	1	4	3.02E-01	4	3.50E-01
3	92	A	1	4	3	3.24E-01	3	5.00E-01
3	93	A	4	3	2	2.89E-01	2	2.50E-01
3	94	A	3	2	4	3.10E-01	4	5.50E-01
3	95	A	2	4	1	3.06E-01	1	3.50E-01
3	96	A	4	1	3	2.59E-01	3	5.00E-01
3	97	A	1	3	4	3.50E-01	4	2.00E-01
3	98	A	3	4	2	2.89E-01	2	2.00E-01
3	99	A	4	2	3	3.05E-01	3	5.50E-01
3	100	B	2	3	4	3.40E-01	4	2.50E-01
3	101	B	3	4	1	2.57E-01	2	4.50E-01
3	102	A	4	1	3	4.17E-01	3	2.00E-01
3	103	B	1	3	2	2.97E-01	1	4.00E-01
3	104	B	3	2	3	3.76E-01	3	2.00E-01
3	105	A	2	3	1	4.39E-01	1	2.00E-01
3	106	A	3	1	2	3.53E-01	2	6.00E-01
3	107	A	1	2	1	3.11E-01	1	4.00E-01
3	108	A	2	1	4	2.51E-01	4	4.50E-01
3	109	A	1	4	3	3.40E-01	3	4.50E-01
3	110	A	4	3	2	2.73E-01	2	4.00E-01
3	111	A	3	2	4	2.90E-01	4	5.00E-01
3	112	B	2	4	3	3.25E-01	3	5.50E-01
3	113	A	4	3	2	2.68E-01	2	3.00E-01
3	114	B	3	2	3	2.71E-01	4	3.50E-01
3	115	A	2	3	1	3.63E-01	1	2.00E-01
3	116	A	3	1	2	3.31E-01	2	3.50E-01
3	117	B	1	2	4	3.16E-01	4	3.00E-01
3	118	B	2	4	3	3.19E-01	3	2.00E-01
3	119	A	4	3	2	2.61E-01	2	2.50E-01
3	120	A	3	2	4	2.85E-01	4	4.50E-01
4	1	A	2	3	1	2.84E-01	1	3.50E-01
4	2	B	3	1	4	2.80E-01	4	3.50E-01
4	3	A	1	4	3	2.99E-01	3	3.50E-01
4	4	A	4	3	2	2.45E-01	2	5.00E-01
