,SID,Session,Block,Trial,Sequence,t-2,t-1,t,RT,Response,Delay,Result,Trial_Number,Correct,cutoff,log_RT,inverse_RT,post_error
128,1005,Baseline,2,12,High Prob,3,2,4,0.3497548,4,0.4,Correct,132,1,0.553885676,-1.050522941,2.859145893,0
129,1005,Baseline,2,13,High Prob,2,4,1,0.3104818,1,0.6,Correct,133,1,0.553885676,-1.169629994,3.220800704,0
130,1005,Baseline,2,14,High Prob,4,1,3,0.3531996,3,0.2,Correct,134,1,0.553885676,-1.040721943,2.831260285,0
131,1005,Baseline,2,15,High Prob,1,3,4,0.3439164,4,0.25,Correct,135,1,0.553885676,-1.067356674,2.907683379,0
132,1005,Baseline,2,16,High Prob,3,4,2,0.3292692,2,0.4,Correct,136,1,0.553885676,-1.110879626,3.037028668,0
133,1005,Baseline,2,17,High Prob,4,2,3,0.3693202,3,0.25,Correct,137,1,0.553885676,-0.996091261,2.707677511,0
134,1005,Baseline,2,18,Low Prob,2,3,4,0.2933649,4,0.3,Correct,138,1,0.581374264,-1.226338052,3.408724084,0
135,1005,Baseline,2,19,High Prob,3,4,2,0.3627353,2,0.35,Correct,139,1,0.553885676,-1.014081912,2.756831221,0
136,1005,Baseline,2,20,High Prob,4,2,3,0.4435231,3,0.4,Correct,140,1,0.553885676,-0.813005393,2.254673996,0
137,1005,Baseline,2,21,High Prob,2,3,1,0.3528767,1,0.6,Correct,141,1,0.553885676,-1.041636575,2.833851031,0
138,1005,Baseline,2,22,High Prob,3,1,2,0.2735876,2,0.4,Correct,142,1,0.553885676,-1.296133416,3.655136417,0
139,1005,Baseline,2,23,High Prob,1,2,1,0.3755965,1,0.35,Correct,143,1,0.553885676,-0.97923985,2.662431625,0
140,1005,Baseline,2,24,High Prob,2,1,4,0.3716915,4,0.5,Correct,144,1,0.553885676,-0.98969107,2.690403197,0
141,1005,Baseline,2,25,High Prob,1,4,3,0.3637604,3,0.6,Correct,145,1,0.553885676,-1.01125987,2.749062295,0
142,1005,Baseline,2,26,High Prob,4,3,2,0.2484823,2,0.5,Correct,146,1,0.553885676,-1.392383663,4.024431519,0
143,1005,Baseline,2,27,Low Prob,3,2,3,0.469166,3,0.2,Correct,147,1,0.581374264,-0.756798629,2.13144175,0
144,1005,Baseline,2,28,High Prob,2,3,1,0.2952117,1,0.25,Correct,148,1,0.553885676,-1.220062553,3.387399619,0
145,1005,Baseline,2,29,High Prob,3,1,2,0.4145604,2,0.3,Correct,149,1,0.553885676,-0.880536597,2.412193736,0
146,1005,Baseline,2,30,High Prob,1,2,1,0.3792826,1,0.45,Correct,150,1,0.553885676,-0.969473705,2.636556488,0
147,1005,Baseline,2,31,High Prob,2,1,4,0.3753568,4,0.5,Correct,151,1,0.553885676,-0.979878239,2.664131834,0
148,1005,Baseline,2,32,Low Prob,1,4,2,0.3834301,2,0.2,Correct,152,1,0.581374264,-0.958597943,2.608037293,0
149,1005,Baseline,2,33,High Prob,4,2,3,0.2788501,3,0.6,Correct,153,1,0.553885676,-1.277080918,3.586156146,0
150,1005,Baseline,2,34,High Prob,2,3,1,0.3208508,1,0.25,Correct,154,1,0.553885676,-1.136779061,3.116713438,0
151,1005,Baseline,2,35,High Prob,3,1,2,0.354915,2,0.4,Correct,155,1,0.553885676,-1.035876955,2.817576039,0
152,1005,Baseline,2,36,High Prob,1,2,1,0.4435779,1,0.2,Correct,156,1,0.553885676,-0.812881844,2.254395451,0
153,1005,Baseline,2,37,High Prob,2,1,4,0.2969739,4,0.4,Correct,157,1,0.553885676,-1.214111023,3.367299281,0
154,1005,Baseline,2,38,High Prob,1,4,3,0.3903964,3,0.55,Correct,158,1,0.553885676,-0.940592646,2.56149903,0
155,1005,Baseline,2,39,Low Prob,4,3,1,0.3597887,1,0.35,Correct,159,1,0.581374264,-1.022238364,2.779409137,0
156,1005,Baseline,2,40,High Prob,3,1,2,0.3984691,2,0.25,Correct,160,1,0.553885676,-0.920125325,2.509604885,0
157,1005,Baseline,2,41,High Prob,1,2,1,0.3732449,1,0.2,Correct,161,1,0.553885676,-0.985520506,2.679206066,0
158,1005,Baseline,2,42,Low Prob,2,1,3,0.3972951,3,0.2,Correct,162,1,0.581374264,-0.923075949,2.517020723,0
159,1005,Baseline,2,43,High Prob,1,3,4,0.3026252,4,0.35,Correct,163,1,0.553885676,-1.195260203,3.304417477,0
160,1005,Baseline,2,44,High Prob,3,4,2,0.3453242,2,0.2,Correct,164,1,0.553885676,-1.063271593,2.895829484,0
161,1005,Baseline,2,45,Low Prob,4,2,1,0.2486564,1,0.45,Correct,165,1,0.581374264,-1.391683255,4.021613761,0
162,1005,Baseline,2,46,High Prob,2,1,4,0.4514195,4,0.25,Correct,166,1,0.553885676,-0.795358217,2.215234388,0
163,1005,Baseline,2,47,Low Prob,1,4,2,0.3401375,2,0.3,Correct,167,1,0.581374264,-1.078405331,2.939987505,0
164,1005,Baseline,2,48,Low Prob,4,2,1,0.2915267,1,0.45,Correct,168,1,0.581374264,-1.232623682,3.430217541,0
165,1005,Baseline,2,49,High Prob,2,1,4,0.3269077,4,0.4,Correct,169,1,0.553885676,-1.118077411,3.058967409,0
166,1005,Baseline,2,50,High Prob,1,4,3,0.5009137,3,0.5,Correct,170,1,0.553885676,-0.691321448,1.996351867,0
167,1005,Baseline,2,51,High Prob,4,3,2,0.3176825,2,0.45,Correct,171,1,0.553885676,-1.146702823,3.147796936,0
168,1005,Baseline,2,52,Low Prob,3,2,3,0.3897565,4,0.25,Wrong,172,0,0.495194896,-0.942233094,2.565704485,0
169,1005,Baseline,2,53,High Prob,2,3,1,0.4290926,1,0.2,Correct,173,1,0.553885676,-0.846082533,2.330499291,0
170,1005,Baseline,2,54,High Prob,3,1,2,0.3391343,2,0.2,Correct,174,1,0.553885676,-1.081359085,2.948684341,0
171,1005,Baseline,2,55,Low Prob,1,2,4,0.3125096,4,0.3,Correct,175,1,0.581374264,-1.16312009,3.199901699,0
172,1005,Baseline,2,56,High Prob,2,4,1,0.3552308,1,0.6,Correct,176,1,0.553885676,-1.03498756,2.815071216,0
173,1005,Baseline,2,57,High Prob,4,1,3,0.4779464,3,0.55,Correct,177,1,0.553885676,-0.738256687,2.092284825,0
174,1005,Baseline,2,58,Low Prob,1,3,2,0.2780292,2,0.5,Correct,178,1,0.581374264,-1.280029135,3.596744515,0
